X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.t.2	X215.0646.t.2	X215.0B2B.t.2	X215.0B59.t.2	X215.340E.t.2	X215.406C.t.2	X215.471D.t.2	X215.591C.t.2	X215.6E50.t.2	X215.7262.t.2
seq10	1515	407	1328	1953	2566	1830	818	918	1270	347	2601	391	1667	1072	1743	1223	790	2724	543	2048	4	70	6	80	32	152	30	22	15	64
seq68	52	30	92	160	332	90	36	31	281	60	104	78	42	52	94	27	34	128	37	372	1	12	1	7	1	9	20	14	4	9
seq148	8	8	17	26	74	9	9	14	10	14	21	9	16	9	14	7	5	14	4	9	1	4	0	1	4	6	2	0	0	1
seq188	4	2	2	2	2	4	2	3	2	2	5	0	5	3	2	4	1	1	2	2	3	0	1	3	4	5	3	1	2	2
seq143	15	6	50	39	47	99	1	8	47	14	9	5	7	10	13	0	10	12	29	37	1	7	2	5	1	6	0	4	1	3
seq120	26	32	86	117	201	31	56	40	159	47	70	11	14	21	21	110	13	30	1	52	2	19	3	2	2	14	3	2	0	4
seq157	28	0	0	0	0	0	0	0	0	30	0	33	0	0	0	0	0	72	5	1	0	26	0	0	0	0	0	0	0	0
seq135	8	8	46	45	82	21	16	10	77	23	62	15	21	13	56	26	21	28	9	28	2	20	8	14	15	27	14	8	3	10
seq79	42	28	51	176	691	19	38	26	251	163	40	8	31	12	53	6	24	56	67	422	2	24	8	20	4	33	0	6	2	6
seq190	3	0	1	6	33	1	5	1	17	11	8	0	4	0	11	0	1	7	8	39	1	5	2	4	4	5	1	1	1	5
seq12	721	71	1436	1012	2992	714	256	117	2114	835	406	121	235	125	419	99	150	489	183	1975	11	60	38	32	533	151	86	142	55	30
