X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.t.2	X215.0646.t.2	X215.0B2B.t.2	X215.0B59.t.2	X215.340E.t.2	X215.406C.t.2	X215.471D.t.2	X215.591C.t.2	X215.6E50.t.2	X215.7262.t.2
seq49	12	34	32	17	86	14	9	5	96	121	318	53	29	14	140	14	11	109	111	124	7	6	4	9	58	79	223	5	15	12
seq32	718	2	264	3	0	992	291	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	1	0	0	76	20
seq47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	289	28	41	257	539	394	110	11	203
seq96	6	3	1	1	0	2	4	1	2	15	6	10	1	1	7	14	0	2	11	29	6	16	3	7	54	23	27	2	1	7
seq109	3	5	0	5	2	4	2	5	10	23	0	0	0	0	0	0	0	0	0	0	20	51	6	33	90	190	100	33	31	41
seq251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	11	0	0	0	25	12	6	0
seq76	21	19	26	22	39	23	19	11	15	21	26	48	14	25	6	59	21	20	34	14	13	69	20	34	182	203	77	19	16	55
seq29	57	104	88	173	142	110	45	133	311	222	181	46	159	59	105	78	25	135	64	454	4	31	26	33	71	35	107	37	51	61
seq77	41	14	30	16	36	27	17	8	16	38	21	19	15	22	27	38	7	8	37	37	30	64	10	24	23	74	30	10	19	21
seq142	16	10	18	6	5	5	6	9	6	2	23	8	0	9	3	1	2	3	19	55	6	11	1	1	20	12	22	10	3	3
seq173	0	0	0	0	0	0	0	0	0	0	2	2	2	0	4	1	3	0	0	3	1	7	7	0	9	12	4	1	1	8
seq46	37	47	15	49	41	22	45	22	78	66	39	47	49	18	41	134	9	47	63	78	14	43	15	26	206	169	125	16	22	41
seq17	31	42	58	15	64	62	27	32	45	208	901	32	103	13	76	46	11	169	146	481	20	144	20	46	735	278	755	21	0	178
seq165	5	1	4	1	0	0	0	5	0	10	9	1	4	3	0	0	0	1	0	22	1	11	1	5	8	17	4	2	2	8
seq147	4	10	3	48	49	46	25	10	8	27	80	1	42	15	91	7	12	103	4	6	0	4	0	3	5	3	8	2	0	1
seq112	11	4	26	46	26	5	5	12	24	25	24	9	26	11	21	16	5	21	11	52	7	23	6	31	28	7	9	5	4	18
seq45	73	44	43	54	140	31	21	21	93	93	240	169	31	30	229	106	34	224	552	466	14	58	19	79	297	114	55	32	12	88
seq48	24	19	114	206	153	36	26	42	54	105	409	16	141	46	180	18	8	215	12	118	10	29	8	14	35	38	15	7	2	8
seq24	582	168	229	114	179	723	454	836	324	349	644	302	65	99	56	160	71	144	211	1040	32	110	4	118	14	87	22	15	17	23
seq176	7	0	0	0	2	2	1	0	5	0	2	0	1	1	2	9	3	2	1	0	0	6	1	2	6	2	17	5	4	0
seq185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14	0	6	6	13	33	8	0	2
seq3	2159	5660	5104	2	9416	10992	5952	1449	3509	7107	2825	2752	5	3907	1420	928	968	1295	3668	11093	0	3391	400	753	713	7	1075	624	319	1
seq39	156	81	107	158	690	141	78	84	279	239	282	91	133	102	239	123	42	204	123	527	16	61	18	43	68	71	19	15	12	31
seq200	3	3	3	3	8	5	0	1	1	15	9	0	1	2	4	0	3	9	3	3	0	3	0	0	1	0	0	0	0	0
seq64	45	43	51	27	68	12	11	8	68	65	138	78	41	20	42	103	38	99	63	114	12	79	6	18	114	119	24	20	7	34
seq69	13	2	15	8	5	6	8	1	8	5	12	28	4	0	20	14	5	7	5	2	12	35	4	32	172	76	65	25	33	28
seq52	46	145	35	184	80	193	53	244	291	248	296	14	53	126	9	59	13	188	10	91	9	39	8	5	88	49	116	4	5	29
seq179	3	4	6	1	6	2	3	1	1	47	6	1	5	1	2	1	0	4	0	1	0	5	0	0	8	22	4	1	0	0
seq85	72	60	64	52	28	82	72	42	73	99	0	0	0	0	0	0	0	0	0	0	7	52	25	33	9	32	17	30	8	2
seq100	22	3	41	38	88	79	22	12	30	29	53	11	36	17	9	5	6	81	7	188	4	4	4	2	13	8	7	5	3	2
seq105	0	0	16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	21	7	19	113	10	72	12	13	65
seq150	8	3	0	19	12	0	1	1	25	20	1	19	4	4	3	2	7	3	25	14	1	0	0	0	0	5	0	1	0	0
seq54	18	0	51	0	0	6	7	4	1	0	0	55	16	1	28	38	15	0	77	23	13	51	19	20	91	111	52	29	14	57
seq168	4	2	4	1	7	0	3	0	3	4	6	3	0	1	4	3	2	5	2	3	0	7	1	2	19	15	15	1	0	0
seq60	74	84	47	4	57	28	54	59	5	65	8	15	0	2	4	10	4	4	13	18	20	207	14	34	289	257	216	14	24	109
seq144	33	8	49	32	35	79	23	19	30	31	78	28	27	13	64	9	27	21	37	54	5	5	0	7	32	26	21	7	3	15
seq28	10	241	738	680	123	467	35	408	457	727	31	50	252	348	81	4	175	113	121	527	5	555	111	296	148	714	10	10	1	176
seq160	30	9	1	22	17	0	27	24	0	40	17	0	3	8	0	54	0	40	12	7	0	10	0	8	0	6	0	3	2	1
seq23	0	3	64	3	0	1	287	0	80	221	263	0	2	507	0	23	0	325	1	0	1	908	0	58	82	315	521	52	12	7
