X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X214.0446.final	X214.3644.final	X214.532E.final	X214.5D46.final	X214.665B.final	X214.6951.final	X214.7250.final	X214.7715.final	X214.7A4F.final	X214.7B6C.final
seq68	52	30	89	159	330	91	31	31	285	69	103	84	42	63	99	27	34	133	37	345	35	74	85	237	190	117	9	91	42	52
seq148	8	7	19	28	73	9	9	15	9	12	18	7	16	12	13	7	5	12	3	8	11	21	7	20	45	19	2	8	14	5
seq188	4	3	1	2	1	3	4	1	2	2	6	0	3	5	2	4	1	1	3	3	2	3	7	2	7	5	6	5	3	5
seq143	15	5	54	39	44	94	1	6	45	15	11	7	8	10	14	1	10	10	30	33	33	48	39	43	25	13	14	11	8	7
seq120	26	32	94	119	201	32	66	35	151	45	67	8	14	13	22	107	13	30	1	56	1	11	14	29	39	21	5	18	12	4
seq157	28	0	0	0	0	0	0	0	0	30	0	40	0	0	0	0	0	70	6	1	0	0	0	124	0	0	0	0	0	0
seq135	8	9	46	45	85	20	16	9	77	23	63	13	26	17	57	27	21	27	12	19	7	38	25	79	96	15	4	22	18	15
seq79	42	27	43	179	668	18	46	30	258	162	41	9	31	10	50	5	25	58	69	415	30	101	27	14	32	33	14	44	54	21
seq190	3	0	3	6	33	1	3	1	15	11	4	1	3	0	10	0	1	7	9	35	2	4	1	0	1	1	0	2	2	0
seq12	721	72	1434	1018	3015	711	271	117	2134	849	404	127	260	115	405	98	151	486	189	1983	856	4215	631	479	495	1218	178	631	1234	1171
seq172	10	4	12	15	51	9	7	2	22	22	18	8	38	5	7	3	11	10	2	48	5	54	3	30	19	4	2	7	0	3
seq99	1	7	5	7	2	4	5	2	11	7	8	2	2	5	11	3	5	7	10	4	9	9	5	3	5	8	3	9	8	11
seq82	7	1	4	3	1	10	1	3	0	3	15	0	2	0	6	5	2	0	1	14	1	0	0	0	0	1	0	0	0	0
seq235	5	1	2	7	13	1	2	0	2	5	5	0	2	1	8	1	1	2	4	8	0	1	1	0	5	1	0	0	1	1
seq1	43867	43225	39535	45132	24134	29243	42255	47616	24477	31088	20273	42954	43024	44996	27534	43325	48774	32829	27201	16246	43071	27511	30933	44230	29575	29534	39105	35117	43573	41312
seq227	4	7	3	3	5	4	2	1	2	5	5	4	7	3	4	6	2	3	4	2	4	1	3	2	2	3	2	2	3	4
seq243	0	1	6	2	0	2	1	0	2	1	1	2	3	3	4	4	2	3	2	1	2	3	2	3	4	3	2	2	7	1
seq213	2	7	6	2	6	7	1	4	10	4	7	5	8	4	7	3	4	5	1	6	5	2	1	3	5	1	1	4	3	2
seq202	3	5	4	2	0	2	2	1	4	1	7	7	9	3	4	4	4	3	4	3	5	3	2	1	3	2	8	2	3	5
seq169	11	16	17	15	11	13	15	19	12	17	12	15	14	18	9	16	12	19	13	5	17	18	11	7	15	13	9	5	14	15
seq115	8	6	31	30	83	42	6	9	32	12	56	12	8	15	35	18	15	51	35	36	30	103	68	29	74	25	39	12	34	32
seq50	47	46	135	49	290	114	46	131	231	261	130	74	68	78	44	40	41	132	42	230	29	240	119	57	412	78	63	81	185	137
seq65	23	42	33	17	14	9	7	12	31	15	50	9	13	13	5	14	7	13	58	104	146	25	86	9	25	11	50	13	29	54
seq75	0	0	0	22	0	0	0	0	43	132	0	2	8	1	2	0	3	5	20	92	80	8	18	3	4	24	8	3	17	2
seq5	748	2005	732	2003	2284	2326	1060	1166	8840	5110	5842	2409	3273	697	5498	4110	1170	3251	8826	5701	3612	3971	5737	1398	1742	1613	1966	1073	621	3266
seq40	293	10	165	9	98	115	107	37	26	20	68	25	23	23	48	20	12	27	15	13	32	133	34	70	77	26	5	51	19	29
seq59	81	0	4	167	795	44	98	30	240	265	51	37	7	39	8	3	0	17	7	19	47	122	74	47	164	88	33	50	143	95
seq193	1	1	15	3	6	3	5	0	8	2	7	6	2	5	7	6	10	0	2	11	0	25	14	12	34	24	3	8	13	9
seq131	69	3	21	3	2	1	1	0	1	7	4	23	3	1	6	20	20	1	76	16	0	69	1	1	3	2	29	1	1	47
seq196	5	1	10	2	16	4	3	1	9	4	1	4	2	3	3	7	1	7	3	16	5	12	1	0	11	16	0	7	3	1
seq88	25	11	30	16	31	32	24	7	38	28	63	28	65	23	76	44	19	35	50	58	41	87	48	11	41	45	82	26	21	27
seq25	216	86	148	159	257	328	174	50	1547	352	2094	233	265	131	452	346	107	658	414	687	234	391	177	110	295	372	177	124	86	131
