X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X216.0023.t.2	X216.167D.t.2	X216.2D17.t.2	X216.4D34.t.2	X216.5D52.t.2	X216.671C.t.2	X216.6807.t.2	X216.737F.t.2	X216.7C29.t.2	X216.7D1C.t.2
0	3	65	2	0	1	307	0	80	223	255	0	2	506	0	25	0	325	0	0	0	12	0	1	1	44	48	93	45	2
46	36	112	25	110	128	107	13	232	68	174	43	95	19	99	68	30	34	222	127	30	18	1	46	36	10	17	8	11	19
53	35	66	10	141	52	49	8	218	125	62	83	51	38	75	44	1	98	69	422	19	58	14	25	42	18	34	32	13	16
41	31	42	5	187	90	16	20	123	95	74	105	47	8	238	13	12	40	356	90	1	13	1	3	6	10	16	2	5	11
82	9	54	25	91	86	19	22	62	46	26	39	7	27	35	40	30	19	98	106	124	13	27	103	32	74	34	82	110	85
18	5	220	33	280	68	36	55	98	38	87	24	115	10	184	17	32	26	0	5	3	7	2	10	22	2	17	7	138	7
4	9	86	14	435	8	2	28	452	5	17	42	26	13	74	89	53	10	35	18	9	25	10	8	9	3	44	7	25	4
74	84	47	3	55	30	54	52	6	76	7	18	2	2	5	11	4	4	15	11	44	189	21	33	130	83	165	128	77	117
13	34	33	17	81	15	8	7	95	122	316	53	30	14	137	15	11	110	114	121	0	73	19	0	0	10	23	7	2	20
33	65	15	31	99	81	73	68	43	127	6	57	60	2	4	12	0	82	42	38	13	127	70	18	32	102	36	22	18	18
46	43	52	28	75	11	9	8	66	64	139	75	39	20	44	102	37	98	62	117	0	20	3	0	5	24	48	28	18	30
37	47	15	46	38	23	43	25	77	72	38	47	48	18	41	133	9	46	66	69	28	106	6	12	19	23	44	32	28	65
41	11	22	21	48	143	50	59	35	123	26	86	57	33	112	25	17	54	96	37	9	11	14	0	6	12	44	29	15	37
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	6	3	19	1	3	10	15	1208
24	38	97	116	202	31	65	36	155	46	68	12	18	16	22	108	10	32	2	50	2	5	1	1	3	1	0	5	3	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	283	74	0	0	73	177	87	41	308
23	11	32	15	29	35	32	6	29	24	60	25	74	16	80	47	18	36	53	52	41	40	0	29	74	11	9	8	37	67
1	19	198	29	106	5	40	3	36	33	108	62	73	45	95	6	5	36	11	51	0	3	0	0	0	0	0	0	0	3
20	19	26	20	26	25	19	15	14	23	31	48	12	25	7	59	20	19	32	11	19	114	30	22	44	35	67	22	28	110
72	60	63	48	28	94	70	44	70	108	0	0	0	0	0	0	0	0	0	0	6	7	17	10	13	17	25	26	77	26
22	3	40	33	84	86	24	13	31	33	45	12	34	17	7	4	2	80	4	159	5	8	3	10	4	4	7	1	11	5
18	0	50	0	0	6	8	3	1	0	0	52	15	1	26	38	13	0	70	22	32	26	17	58	76	43	12	20	31	146
36	7	60	9	97	58	34	33	30	19	67	23	19	20	48	26	14	33	13	13	4	7	10	2	7	16	17	13	26	7
1	6	0	0	9	0	0	10	1	27	36	6	0	12	0	0	5	0	17	1	62	76	0	37	32	69	178	0	150	28
40	14	30	15	32	26	16	6	15	39	18	19	16	21	25	36	7	8	39	31	40	8	8	26	17	15	29	89	22	27
33	8	49	31	48	73	19	20	28	29	68	28	25	13	63	9	28	20	34	50	3	4	2	5	2	10	9	3	4	4
51	0	0	45	21	6	44	1	83	6	274	0	1	0	2	0	3	1	0	0	15	8	5	32	46	1	17	0	0	24
27	40	30	17	15	7	6	15	22	14	49	15	17	14	7	15	13	12	53	86	18	2	6	8	28	0	29	2	27	76
2	0	0	1	5	1	1	0	10	9	4	2	1	2	3	14	0	1	2	6	2	65	0	241	60	0	9	30	100	60
5	10	2	45	49	51	25	10	8	28	79	2	39	17	89	6	9	100	4	7	0	0	0	1	8	2	8	11	0	0
7	6	26	29	75	42	14	13	37	12	56	20	9	16	31	22	13	43	39	35	3	5	1	11	2	8	10	2	3	7
4	12	13	12	60	16	8	4	23	37	32	31	27	31	37	56	22	25	24	22	7	1	0	19	6	3	10	2	12	8
6	7	17	7	49	42	13	1	55	12	11	18	9	8	37	42	27	12	52	30	12	2	1	14	17	1	2	3	12	35
3	0	1	184	13	30	2	18	0	0	55	1	46	23	36	0	36	40	10	3	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	23	21	12	97	22	24	19	32	217
