X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X216.0023.t.2	X216.167D.t.2	X216.2D17.t.2	X216.4D34.t.2	X216.5D52.t.2	X216.671C.t.2	X216.6807.t.2	X216.737F.t.2	X216.7C29.t.2	X216.7D1C.t.2
seq10	1515	407	1328	1960	2563	1830	819	921	1269	368	2625	393	1671	1068	1750	1220	795	2717	540	1971	50	29	14	96	149	44	131	55	6	30
seq68	52	30	92	164	341	89	36	29	282	73	109	78	42	51	99	27	23	126	37	367	8	9	1	6	3	5	13	20	18	9
seq148	8	8	17	25	72	9	9	14	10	12	22	9	16	9	13	7	5	13	2	12	0	1	1	0	0	1	1	1	0	1
seq188	4	2	2	2	3	4	2	3	2	2	5	0	5	3	3	4	1	1	2	2	1	2	2	0	4	2	4	1	1	3
seq143	15	6	50	38	40	92	1	8	46	14	12	5	7	9	15	0	7	11	26	35	0	1	1	0	0	0	2	5	0	4
seq120	26	32	86	119	210	33	56	40	157	44	68	11	14	21	22	109	9	29	1	56	5	4	1	1	2	2	2	5	4	1
seq157	28	0	0	0	0	0	0	0	0	27	0	33	0	0	0	0	0	74	7	1	2	0	0	0	0	0	0	0	56	0
seq135	8	8	46	45	83	23	16	10	76	21	66	15	22	13	59	26	22	29	11	24	0	9	3	0	0	6	8	16	1	19
seq79	42	28	51	180	674	21	37	26	255	159	37	8	31	12	54	6	25	59	67	407	3	2	6	4	3	7	17	16	14	10
seq190	3	0	1	5	34	1	5	1	17	9	7	0	4	0	10	0	1	9	6	37	0	0	3	0	0	2	1	2	2	4
seq12	721	71	1436	1017	3005	706	256	117	2117	831	392	121	236	125	405	99	151	472	190	1999	22	401	17	106	26	33	89	12	189	21
seq172	10	5	9	14	54	11	8	2	19	20	16	6	44	6	7	3	11	9	3	54	0	1	0	1	4	0	0	1	1	0
seq99	1	6	2	6	2	1	3	3	12	8	8	3	5	3	10	4	7	12	9	6	6	11	2	4	6	4	6	4	0	12
seq82	7	1	3	2	1	10	1	5	1	4	15	0	1	0	7	5	2	1	0	17	43	24	28	13	115	23	39	25	50	1446
seq235	5	1	1	7	11	1	2	0	3	6	3	1	2	1	6	1	2	2	3	7	0	0	0	0	1	0	1	0	0	1
seq1	43867	43222	39547	45195	24138	29275	42425	47715	24351	31122	20309	42929	43147	45090	27480	43334	48711	32953	27265	16254	26633	20153	35802	22236	20829	34508	46557	19821	35760	25968
seq227	4	5	2	3	4	3	4	1	1	4	5	4	5	3	4	5	1	2	4	1	2	2	2	1	7	6	7	4	1	2
seq243	0	1	5	1	0	2	0	1	0	1	2	1	5	4	4	5	0	4	4	3	3	4	1	0	3	1	4	1	3	3
seq213	2	8	6	2	6	7	3	2	5	4	4	5	3	4	6	4	5	6	2	4	1	4	1	1	4	4	5	1	0	5
seq202	3	5	3	2	1	3	2	1	5	3	6	2	7	3	4	4	3	3	6	1	2	2	1	2	3	3	2	3	2	2
seq169	11	14	14	16	13	13	6	17	12	14	13	13	12	17	11	18	9	16	12	7	11	16	11	7	10	13	12	7	12	10
seq115	8	6	29	26	74	40	11	12	34	10	57	14	7	23	29	19	12	47	35	36	4	11	1	7	2	5	12	4	2	6
seq50	47	44	131	58	292	129	38	124	219	270	123	69	79	74	42	46	35	125	38	231	14	25	9	4	5	16	34	28	36	17
seq65	23	42	33	17	11	8	6	10	26	14	54	11	11	16	7	14	10	17	65	93	20	2	5	14	24	0	27	1	24	79
seq75	0	0	0	25	0	0	0	0	45	146	0	4	9	1	2	0	2	5	18	93	0	2	0	0	0	0	5	6	1	0
seq5	748	2006	694	1972	2295	2342	1091	1156	8921	5078	5785	2362	3331	686	5516	4088	1234	3221	8794	5691	1859	1203	405	1507	3006	812	614	590	1425	1726
seq40	293	13	170	9	101	106	116	42	34	24	64	26	17	24	47	23	18	31	14	11	54	1242	443	12	262	295	1946	646	143	224
seq59	81	0	3	159	781	43	99	28	231	273	48	33	8	37	8	2	0	16	6	18	5	20	2	7	26	8	16	18	21	11
seq193	1	1	11	6	5	4	3	0	7	3	11	5	1	5	6	6	12	0	2	8	0	1	0	0	0	1	0	4	0	0
seq131	69	3	20	3	4	1	1	1	2	5	4	20	2	1	5	23	19	1	71	13	1	25	3	0	1	16	9	33	34	12
seq196	5	1	12	1	21	3	4	3	12	5	1	0	3	1	3	5	1	8	2	17	1	0	1	4	2	1	0	2	16	0
seq88	25	10	30	16	31	33	29	10	27	26	65	29	69	23	79	41	15	30	53	49	45	41	2	28	74	9	10	6	31	71
seq25	216	92	169	157	257	310	165	54	1564	338	2062	257	258	136	458	352	132	652	419	685	142	363	37	95	238	66	101	77	170	261
