t.2 - 8 Weeks LAR	baseline
85	30
2	2
527	59
4	40
5	26
6	6
23	0
74	58
713	1816
0	8
0	3
44	46
62	182
1	5
582	3069
73	191
3	3
11	13
20662	13
41	127
3	57
55	257
51	93
3	4
1	22
9	107
2	2
82	383
20	24
34	22
12	142
2	3
2	24
5	35
181	4
2	3
6	8
1	18
28827	35916
120	39
335	570
13	94
3	5
68	130
7	186
85	222
13	13
39	48
31	338
105	0
6	31
53	137
90	76
8	109
7	80
54	198
15	75
24	195
61	6
32	34
19	111
1	10
18	56
60	1386
3	31
33	3
1	8
1	16
1	15
3	4
4	10
1	9
521	3999
1315	3351
92	723
388	421
155	437
