	Time	Flight	Cage	Flight_Cage	Animal_ID	Treatment	Compare
t2737F	t.2	t.2 - 8 Weeks	216	T2.216	737F	LAR	t.2 - 8 Weeks LAR
t27C29	t.2	t.2 - 8 Weeks	216	T2.216	7C29	LAR	t.2 - 8 Weeks LAR
t27D1C	t.2	t.2 - 8 Weeks	216	T2.216	7D1C	LAR	t.2 - 8 Weeks LAR
Pre014D	Base	Baseline	204	Base.204	014D	Base	Baseline Base
Pre0433	Base	Baseline	213	Base.213	433	Base	Baseline Base
Pre0A78	Base	Baseline	204	Base.204	0A78	Base	Baseline Base
Pre0E29	Base	Baseline	204	Base.204	0.00E+00	Base	Baseline Base
Pre0F6A	Base	Baseline	213	Base.213	0F6A	Base	Baseline Base
Pre1B7C	Base	Baseline	213	Base.213	1B7C	Base	Baseline Base
Pre1D21	Base	Baseline	204	Base.204	1D21	Base	Baseline Base
Pre2401	Base	Baseline	204	Base.204	2401	Base	Baseline Base
Pre2B00	Base	Baseline	204	Base.204	2B00	Base	Baseline Base
Pre3451	Base	Baseline	213	Base.213	3451	Base	Baseline Base
Pre362D	Base	Baseline	204	Base.204	362D	Base	Baseline Base
Pre3B49	Base	Baseline	204	Base.204	3B49	Base	Baseline Base
Pre3C4E	Base	Baseline	213	Base.213	3C4E	Base	Baseline Base
Pre4305	Base	Baseline	204	Base.204	4305	Base	Baseline Base
Pre4410	Base	Baseline	213	Base.213	4410	Base	Baseline Base
Pre496F	Base	Baseline	213	Base.213	496F	Base	Baseline Base
Pre5D38	Base	Baseline	213	Base.213	5D38	Base	Baseline Base
Pre6224	Base	Baseline	213	Base.213	6224	Base	Baseline Base
Pre691B	Base	Baseline	204	Base.204	691B	Base	Baseline Base
Pre7B56	Base	Baseline	213	Base.213	7B56	Base	Baseline Base
