X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.final	X215.0646.final	X215.0B2B.final	X215.0B59.final	X215.340E.final	X215.406C.final	X215.471D.final	X215.591C.final	X215.6E50.final	X215.7262.final
seq46	37	47	21	47	38	23	45	22	77	66	40	52	48	28	39	142	8	45	61	71	10	68	9	60	74	28	16	12	12	8
seq17	31	42	55	16	63	64	27	32	44	209	899	26	109	11	81	54	11	162	139	502	13	148	19	134	75	127	48	30	0	74
seq165	5	1	5	1	1	0	0	5	0	10	9	1	6	4	0	0	1	1	0	23	3	4	4	6	6	4	9	2	3	0
seq147	5	10	3	47	49	52	24	10	8	27	79	1	46	23	87	8	11	106	4	7	0	4	0	10	4	0	1	1	0	3
seq112	10	4	26	44	20	5	8	12	24	24	26	8	27	17	22	12	6	22	7	52	4	32	4	13	11	15	8	8	11	10
seq45	74	44	44	52	122	34	20	21	92	97	247	150	30	25	230	111	37	237	604	478	11	130	82	175	73	36	31	8	25	8
seq48	24	19	111	214	169	36	25	42	55	104	411	14	158	51	185	17	5	234	12	127	2	22	2	15	9	12	9	5	9	10
seq24	582	168	218	115	170	733	454	836	326	355	632	265	58	100	54	161	79	142	222	1054	149	150	1	113	99	136	78	37	85	12
seq176	7	0	1	0	2	3	1	0	3	0	2	0	0	1	2	9	2	3	1	0	0	4	1	3	7	1	1	4	1	0
seq185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	7	4	0	1	2	7	5
seq3	2159	5660	5148	2	9527	11074	5955	1450	3509	7103	2801	2731	9	3945	1412	953	951	1316	3694	11034	1	4459	660	5849	2258	0	189	460	335	0
seq39	156	81	92	164	704	144	77	84	282	245	290	83	143	119	231	120	41	205	125	525	30	43	14	113	59	57	14	20	29	64
seq200	2	3	4	3	7	5	1	1	0	15	8	0	0	6	3	0	2	11	2	4	0	3	0	1	1	0	0	0	0	2
seq64	46	43	49	28	74	12	12	8	66	64	138	76	42	23	43	103	37	96	76	117	5	91	10	20	30	22	5	14	4	12
seq69	12	2	10	7	5	7	7	1	9	4	11	25	4	0	20	17	7	10	7	2	5	54	11	36	18	10	4	7	20	15
seq52	46	145	38	175	84	197	52	244	290	256	297	20	63	114	12	57	16	187	8	92	7	29	1	40	9	16	6	2	4	126
seq179	3	4	6	1	3	2	2	1	3	43	6	0	5	0	1	2	3	3	0	1	0	5	0	1	2	2	1	1	0	0
seq85	72	60	72	48	28	88	74	42	70	101	0	0	0	0	0	0	0	0	0	0	26	76	16	31	32	34	15	18	18	18
seq100	22	3	41	33	84	82	23	12	31	29	51	13	39	19	6	4	4	83	7	173	3	3	22	6	9	6	7	0	6	1
seq105	0	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	52	5	17	24	2	12	23	11	4
seq150	8	3	0	16	16	0	0	1	26	21	2	18	4	3	3	2	7	4	24	16	0	0	0	0	1	1	0	0	0	0
seq54	18	0	50	0	0	7	6	4	1	0	0	53	16	1	24	46	17	0	68	22	4	83	28	11	19	8	15	26	17	5
seq168	5	2	3	2	7	1	3	0	2	7	6	4	0	3	4	3	2	5	2	1	1	0	1	5	5	2	2	1	1	0
seq60	74	84	46	3	54	35	56	59	6	70	8	21	1	1	4	9	6	4	21	12	4	114	10	67	59	33	18	27	23	40
seq144	33	8	50	31	48	66	21	19	28	27	74	29	27	12	65	9	24	22	37	50	6	8	3	11	8	3	5	6	6	1
seq28	9	241	742	679	112	465	35	408	460	740	31	48	244	319	75	3	169	125	106	519	0	137	9	252	60	137	15	1	47	189
seq160	30	9	0	25	18	0	26	24	0	40	15	0	3	10	0	55	1	39	11	7	0	9	0	4	0	2	1	7	1	8
seq23	0	3	69	2	0	1	290	0	80	223	254	0	3	526	0	24	0	331	1	0	0	942	0	176	103	463	0	253	35	133
seq93	1	6	0	0	9	0	0	9	1	27	37	7	0	11	0	0	6	0	16	0	8	9	45	0	394	24	57	0	66	0
seq90	41	11	23	21	48	137	52	51	35	128	23	87	57	38	106	22	15	57	98	35	7	20	14	10	66	21	21	5	33	31
seq2	13	16	9	9	14	6	11	14	10	13	17	12	22	16	16	17	12	10	11	15	28240	18	45222	9	76	7	30561	28801	30786	11
seq4	650	526	103	491	337	706	193	471	298	1241	1416	766	557	252	179	373	120	759	0	2006	176	450	392	5447	584	363	130	161	172	752
seq125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	21	101	23	11	1	19	5	11	1
seq145	5	5	17	1	84	28	7	4	45	25	53	9	14	15	36	9	3	25	13	82	2	3	1	2	1	2	0	0	2	0
seq26	4	9	79	14	438	8	2	29	451	3	18	48	21	19	70	85	55	9	33	15	111	944	178	326	858	792	153	295	153	1353
seq171	4	10	7	2	4	6	3	4	8	4	1	2	5	5	5	5	2	1	3	1	0	5	1	4	4	4	4	1	1	0
seq117	1	19	209	28	105	6	43	2	36	33	114	47	78	43	94	4	7	28	12	53	1	4	0	0	3	1	1	0	0	4
seq10	1493	400	1143	1949	2428	1836	771	923	1235	322	2539	347	1613	1050	1647	1223	814	2645	526	1974	5	84	10	244	45	61	16	11	20	511
seq68	48	26	87	165	333	87	39	29	282	65	106	71	37	64	100	25	25	129	35	319	1	5	1	10	0	0	6	4	4	11
seq148	6	7	13	26	68	8	10	13	10	15	21	11	17	13	16	10	6	11	4	7	0	3	0	2	1	2	1	0	0	1
seq188	3	1	3	2	3	4	3	4	6	1	6	0	5	4	4	5	2	2	2	1	0	2	3	2	2	5	0	3	1	2
seq143	12	7	50	42	40	93	0	4	55	10	12	3	6	7	13	1	5	10	29	34	0	1	0	4	1	1	0	1	0	3
seq120	24	38	95	116	206	32	65	33	155	43	66	12	19	15	22	112	9	34	2	51	1	10	0	1	1	3	1	0	0	8
seq157	31	0	0	0	0	0	0	0	0	31	0	37	0	0	0	0	0	65	6	1	0	45	0	0	0	0	0	0	0	0
seq135	8	1	42	33	19	7	0	0	22	21	14	3	22	3	49	26	28	28	11	16	2	16	2	5	10	2	4	1	2	14
seq149	0	8	2	9	59	16	15	6	51	0	56	9	1	14	2	0	0	0	0	4	0	6	0	15	0	7	2	0	0	0
seq79	41	32	55	184	696	22	43	26	245	154	44	12	27	12	53	10	16	53	64	429	3	36	9	11	13	25	5	7	11	5
seq190	0	1	2	5	33	1	7	0	15	10	5	1	7	0	8	0	0	8	5	36	2	3	1	4	1	2	0	1	0	1
seq12	739	69	1420	988	3025	696	266	112	2084	839	403	127	239	115	408	101	158	490	171	1994	29	276	25	98	41	50	118	37	60	49
seq175	7	3	5	6	3	8	2	4	5	3	9	7	1	3	3	3	4	8	2	5	3	5	2	3	4	1	2	1	2	2
seq172	2	2	7	5	26	2	6	1	12	1	4	2	35	0	3	0	7	3	1	6	1	8	1	0	0	0	0	0	0	0
seq192	7	2	5	9	27	10	2	1	7	20	14	4	9	6	0	3	6	7	2	40	2	21	7	6	5	3	2	0	4	14
seq99	1	7	6	6	2	2	4	4	10	8	7	3	5	4	10	4	4	9	10	5	4	6	2	5	5	6	4	2	3	8
seq82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	157	245	146	216	45	152	28	44	51
seq274	5	1	3	2	0	9	1	3	1	3	20	0	2	0	7	3	1	1	2	13	0	0	0	0	0	0	0	0	0	0
seq95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	21	93	16	14	9	49	3	7	9
seq235	4	2	3	10	19	1	2	0	3	6	3	1	1	1	6	0	1	3	4	7	0	0	0	0	0	0	0	0	0	0
seq1	43874	43226	39577	45164	23953	29137	42461	47733	24404	31153	20248	42941	43026	45013	27484	43388	48788	32879	27168	16235	25313	41924	6841	37024	45953	51212	22026	24532	22481	50342
seq213	5	5	5	2	7	6	3	3	4	3	6	7	7	3	8	5	6	7	2	4	3	2	3	5	7	6	4	2	0	3
seq202	0	3	2	2	0	3	1	0	3	1	5	4	4	3	4	1	2	2	3	2	1	2	2	4	2	2	2	1	1	1
seq189	2	2	3	5	2	2	2	1	3	3	4	4	1	8	1	0	5	4	2	1	1	2	0	2	2	1	1	7	3	4
seq169	4	2	4	4	5	1	4	6	5	6	3	2	6	8	4	7	1	6	5	4	1	7	1	3	3	3	3	2	5	3
seq115	7	8	26	35	82	41	12	13	39	12	61	17	6	19	27	20	16	45	33	41	1	25	1	0	3	5	4	0	0	0
seq50	37	40	131	46	274	113	36	130	224	284	124	68	73	80	39	41	33	123	40	217	6	66	2	19	19	30	7	6	9	40
seq65	27	36	34	15	16	7	3	14	24	14	58	13	16	17	6	16	9	19	59	108	0	99	1	53	12	17	0	0	0	9
seq75	0	0	0	20	1	0	0	0	38	131	0	6	7	1	2	0	2	4	21	91	1	0	85	0	140	3	47	0	0	2
seq183	1	1	1	0	5	6	3	1	5	3	0	4	7	5	9	8	7	0	9	10	0	4	1	0	3	0	0	1	0	0
seq111	6	8	16	6	48	42	10	2	55	12	11	13	10	9	41	36	19	16	56	28	1	14	2	8	5	13	1	5	2	1
seq208	3	5	18	7	27	29	11	2	23	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq5	335	460	382	219	525	663	183	110	3738	252	1067	1432	283	369	2213	892	485	33	4280	2053	8	985	317	1272	270	269	18	241	23	295
seq31	1	718	0	187	930	0	0	339	0	498	0	0	0	0	1	0	0	1067	0	0	0	0	0	0	0	0	0	0	0	0
seq81	81	12	58	22	106	89	16	23	59	45	22	31	9	26	36	39	24	14	89	104	42	136	43	100	181	89	45	20	53	62
seq127	5	10	10	4	19	29	5	8	6	9	29	3	9	3	19	14	5	18	1	2	2	5	6	4	0	3	0	0	0	0
seq222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	4	0	0	0	12	7	14	0
seq40	258	0	110	0	0	54	81	0	1	0	0	0	0	0	0	0	0	0	0	0	0	299	1	287	418	59	0	0	0	86
seq59	74	0	4	164	805	47	95	28	237	274	51	40	6	38	12	2	0	14	5	18	6	51	6	13	19	17	3	6	12	27
seq193	0	1	6	6	3	1	4	0	4	3	7	4	1	1	4	3	9	0	2	3	0	5	0	3	0	2	0	2	0	1
seq131	71	0	20	0	0	1	0	0	0	0	3	24	0	0	5	25	20	0	79	11	2	0	0	36	0	9	0	0	2	0
seq196	2	1	12	2	16	3	4	3	12	4	1	3	2	3	2	7	1	9	3	17	1	2	0	0	0	1	0	0	2	4
seq88	23	10	27	16	34	27	29	8	28	26	63	30	66	21	76	48	18	33	49	59	1	12	2	5	1	2	10	2	3	1
seq25	123	36	22	91	56	91	12	13	1368	203	1760	109	27	9	47	189	21	436	222	510	3	22	4	7	2	3	1	0	7	1
seq55	96	48	141	74	207	226	147	44	197	143	333	125	239	117	413	134	77	223	177	205	14	88	25	184	103	27	32	22	31	43
seq140	3	2	4	3	22	5	2	2	28	7	35	2	29	6	18	36	10	24	49	12	1	2	1	3	2	4	4	0	3	3
