	Cage	SamID	Time	Treatment	TT	TTC	Compare	Compare1
X215.0B59.final	215	0B59	final	LAR_G	LAR_G_final	LAR_G_final_215	final LAR_G	final
X215.0B59.pre	215	0B59	pre	LAR_G	LAR_G_pre	LAR_G_pre_215	t.0 - Pre Launch LAR_G	t.0 - Pre Launch
X215.0B59.t.1	215	0B59	t.1	LAR_G	LAR_G_t.1	LAR_G_t.1_215	t.1 - 4 Weeks LAR_G	t.1 - 4 Weeks
X215.0B59.t.2	215	0B59	t.2	LAR_G	LAR_G_t.2	LAR_G_t.2_215	t.2 - 8 Weeks LAR_G	t.2 - 8 Weeks
X215.340E.final	215	340E	final	LAR_G	LAR_G_final	LAR_G_final_215	final LAR_G	final
X215.340E.pre	215	340E	pre	LAR_G	LAR_G_pre	LAR_G_pre_215	t.0 - Pre Launch LAR_G	t.0 - Pre Launch
X215.340E.t.1	215	340E	t.1	LAR_G	LAR_G_t.1	LAR_G_t.1_215	t.1 - 4 Weeks LAR_G	t.1 - 4 Weeks
X215.340E.t.2	215	340E	t.2	LAR_G	LAR_G_t.2	LAR_G_t.2_215	t.2 - 8 Weeks LAR_G	t.2 - 8 Weeks
X215.406C.final	215	406C	final	LAR_G	LAR_G_final	LAR_G_final_215	final LAR_G	final
X215.406C.pre	215	406C	pre	LAR_G	LAR_G_pre	LAR_G_pre_215	t.0 - Pre Launch LAR_G	t.0 - Pre Launch
X215.406C.t.1	215	406C	t.1	LAR_G	LAR_G_t.1	LAR_G_t.1_215	t.1 - 4 Weeks LAR_G	t.1 - 4 Weeks
X215.406C.t.2	215	406C	t.2	LAR_G	LAR_G_t.2	LAR_G_t.2_215	t.2 - 8 Weeks LAR_G	t.2 - 8 Weeks
X215.471D.final	215	471D	final	LAR_G	LAR_G_final	LAR_G_final_215	final LAR_G	final
X215.471D.pre	215	471D	pre	LAR_G	LAR_G_pre	LAR_G_pre_215	t.0 - Pre Launch LAR_G	t.0 - Pre Launch
X215.471D.t.1	215	471D	t.1	LAR_G	LAR_G_t.1	LAR_G_t.1_215	t.1 - 4 Weeks LAR_G	t.1 - 4 Weeks
X215.471D.t.2	215	471D	t.2	LAR_G	LAR_G_t.2	LAR_G_t.2_215	t.2 - 8 Weeks LAR_G	t.2 - 8 Weeks
X215.591C.final	215	591C	final	LAR_G	LAR_G_final	LAR_G_final_215	final LAR_G	final
X215.591C.pre	215	591C	pre	LAR_G	LAR_G_pre	LAR_G_pre_215	t.0 - Pre Launch LAR_G	t.0 - Pre Launch
X215.591C.t.1	215	591C	t.1	LAR_G	LAR_G_t.1	LAR_G_t.1_215	t.1 - 4 Weeks LAR_G	t.1 - 4 Weeks
X215.591C.t.2	215	591C	t.2	LAR_G	LAR_G_t.2	LAR_G_t.2_215	t.2 - 8 Weeks LAR_G	t.2 - 8 Weeks
X215.6E50.final	215	6.00E+50	final	LAR_G	LAR_G_final	LAR_G_final_215	final LAR_G	final
X215.6E50.pre	215	6.00E+50	pre	LAR_G	LAR_G_pre	LAR_G_pre_215	t.0 - Pre Launch LAR_G	t.0 - Pre Launch
X215.6E50.t.1	215	6.00E+50	t.1	LAR_G	LAR_G_t.1	LAR_G_t.1_215	t.1 - 4 Weeks LAR_G	t.1 - 4 Weeks
X215.6E50.t.2	215	6.00E+50	t.2	LAR_G	LAR_G_t.2	LAR_G_t.2_215	t.2 - 8 Weeks LAR_G	t.2 - 8 Weeks
X215.7262.final	215	7262	final	LAR_G	LAR_G_final	LAR_G_final_215	final LAR_G	final
X215.7262.pre	215	7262	pre	LAR_G	LAR_G_pre	LAR_G_pre_215	t.0 - Pre Launch LAR_G	t.0 - Pre Launch
X215.7262.t.1	215	7262	t.1	LAR_G	LAR_G_t.1	LAR_G_t.1_215	t.1 - 4 Weeks LAR_G	t.1 - 4 Weeks
X215.7262.t.2	215	7262	t.2	LAR_G	LAR_G_t.2	LAR_G_t.2_215	t.2 - 8 Weeks LAR_G	t.2 - 8 Weeks
X216.0023.final	216	23	final	LAR	LAR_final	LAR_final_216	final LAR	final
X216.0023.pre	216	23	pre	LAR	LAR_pre	LAR_pre_216	t.0 - Pre Launch LAR	t.0 - Pre Launch
X216.0023.t.1	216	23	t.1	LAR	LAR_t.1	LAR_t.1_216	t.1 - 4 Weeks LAR	t.1 - 4 Weeks
X216.0023.t.2	216	23	t.2	LAR	LAR_t.2	LAR_t.2_216	t.2 - 8 Weeks LAR	t.2 - 8 Weeks
X216.167D.final	216	167D	final	LAR	LAR_final	LAR_final_216	final LAR	final
X216.167D.pre	216	167D	pre	LAR	LAR_pre	LAR_pre_216	t.0 - Pre Launch LAR	t.0 - Pre Launch
X216.167D.t.1	216	167D	t.1	LAR	LAR_t.1	LAR_t.1_216	t.1 - 4 Weeks LAR	t.1 - 4 Weeks
X216.167D.t.2	216	167D	t.2	LAR	LAR_t.2	LAR_t.2_216	t.2 - 8 Weeks LAR	t.2 - 8 Weeks
X216.2D17.final	216	2D17	final	LAR	LAR_final	LAR_final_216	final LAR	final
X216.2D17.pre	216	2D17	pre	LAR	LAR_pre	LAR_pre_216	t.0 - Pre Launch LAR	t.0 - Pre Launch
X216.2D17.t.1	216	2D17	t.1	LAR	LAR_t.1	LAR_t.1_216	t.1 - 4 Weeks LAR	t.1 - 4 Weeks
X216.2D17.t.2	216	2D17	t.2	LAR	LAR_t.2	LAR_t.2_216	t.2 - 8 Weeks LAR	t.2 - 8 Weeks
X216.4D34.final	216	4D34	final	LAR	LAR_final	LAR_final_216	final LAR	final
X216.4D34.pre	216	4D34	pre	LAR	LAR_pre	LAR_pre_216	t.0 - Pre Launch LAR	t.0 - Pre Launch
X216.4D34.t.1	216	4D34	t.1	LAR	LAR_t.1	LAR_t.1_216	t.1 - 4 Weeks LAR	t.1 - 4 Weeks
X216.4D34.t.2	216	4D34	t.2	LAR	LAR_t.2	LAR_t.2_216	t.2 - 8 Weeks LAR	t.2 - 8 Weeks
X216.5D52.final	216	5D52	final	LAR	LAR_final	LAR_final_216	final LAR	final
X216.5D52.pre	216	5D52	pre	LAR	LAR_pre	LAR_pre_216	t.0 - Pre Launch LAR	t.0 - Pre Launch
X216.5D52.t.1	216	5D52	t.1	LAR	LAR_t.1	LAR_t.1_216	t.1 - 4 Weeks LAR	t.1 - 4 Weeks
X216.5D52.t.2	216	5D52	t.2	LAR	LAR_t.2	LAR_t.2_216	t.2 - 8 Weeks LAR	t.2 - 8 Weeks
X216.671C.final	216	671C	final	LAR	LAR_final	LAR_final_216	final LAR	final
X216.671C.pre	216	671C	pre	LAR	LAR_pre	LAR_pre_216	t.0 - Pre Launch LAR	t.0 - Pre Launch
X216.671C.t.1	216	671C	t.1	LAR	LAR_t.1	LAR_t.1_216	t.1 - 4 Weeks LAR	t.1 - 4 Weeks
X216.671C.t.2	216	671C	t.2	LAR	LAR_t.2	LAR_t.2_216	t.2 - 8 Weeks LAR	t.2 - 8 Weeks
X216.6807.final	216	6807	final	LAR	LAR_final	LAR_final_216	final LAR	final
X216.6807.pre	216	6807	pre	LAR	LAR_pre	LAR_pre_216	t.0 - Pre Launch LAR	t.0 - Pre Launch
