X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X214.0446.final	X214.3644.final	X214.532E.final	X214.5D46.final	X214.665B.final	X214.6951.final	X214.7250.final	X214.7715.final	X214.7A4F.final	X214.7B6C.final
seq177	0	1	0	0	1	0	0	1	6	0	0	1	0	0	0	0	0	0	9	1	30	83	0	0	33	16	41	24	18	9
seq76	20	19	26	20	27	25	19	15	15	21	27	48	13	25	7	59	11	20	32	15	8	16	20	43	26	11	39	10	22	32
seq29	58	104	89	178	139	116	60	119	310	225	179	45	160	59	110	78	18	132	65	456	66	613	161	241	121	206	49	417	95	223
seq77	40	13	30	15	34	26	16	7	18	40	17	20	16	22	24	37	6	9	37	37	40	31	11	49	36	18	15	6	13	15
seq142	16	11	18	5	5	6	6	8	7	3	23	8	0	9	4	1	4	2	17	56	25	52	54	3	8	5	38	26	2	71
seq173	0	0	0	0	0	0	0	0	0	0	2	2	1	0	5	1	2	0	0	2	22	74	42	39	18	7	36	11	7	66
seq46	37	47	15	46	38	23	43	25	74	67	45	47	48	18	36	135	8	44	64	79	79	86	64	17	68	78	156	56	74	115
seq17	31	42	58	16	65	64	32	25	37	204	899	32	104	13	78	44	11	171	144	482	12	87	431	52	2	40	1	18	54	304
seq165	5	1	5	2	1	0	0	5	0	9	10	0	4	3	0	0	1	1	0	21	5	16	3	3	3	2	9	6	0	14
seq216	0	1	1	2	1	2	0	0	0	1	4	4	1	0	1	2	0	0	1	4	3	4	4	9	8	3	1	3	2	2
seq147	5	8	4	46	48	51	25	10	4	29	84	1	42	15	91	7	11	105	2	7	0	3	1	9	117	12	3	1	4	2
seq112	10	5	26	45	20	5	6	11	27	26	29	8	26	11	19	17	6	22	9	53	16	18	45	10	8	1	8	4	33	28
seq45	74	44	43	53	122	34	24	26	90	94	243	170	31	30	226	107	38	236	556	465	69	111	93	61	90	26	118	44	22	101
seq48	24	20	112	215	167	35	22	39	59	102	414	16	141	47	179	19	6	230	11	119	16	42	25	62	41	13	6	4	22	24
seq24	582	166	229	118	172	730	478	889	300	349	623	301	65	98	56	160	78	142	216	1043	3	476	30	6	132	19	57	166	36	367
seq176	7	0	1	1	1	3	1	0	5	1	2	0	1	2	2	10	2	3	0	0	0	8	2	9	13	2	1	1	4	1
seq3	2159	5659	5102	3	9530	11109	6086	1505	3555	7138	2831	2750	5	3910	1426	928	956	1292	3652	11120	315	5	1150	2	8544	11075	1889	10351	5225	4
seq39	156	82	108	163	702	141	78	82	269	239	284	90	133	101	238	121	39	207	127	527	51	224	122	103	186	161	69	104	71	83
seq200	2	2	2	4	6	5	1	2	1	13	9	1	1	2	4	0	2	12	2	5	1	1	4	4	5	1	0	2	3	0
seq64	46	43	51	27	75	13	9	8	61	66	138	77	41	20	44	103	38	99	63	116	35	179	194	105	27	38	177	28	130	57
seq69	12	3	15	7	7	5	10	0	7	4	15	27	4	1	21	16	7	9	6	2	124	15	70	4	83	5	129	28	18	21
seq52	46	144	36	176	83	187	58	227	296	246	293	15	53	126	9	57	16	192	12	94	47	77	32	53	204	15	20	32	39	73
seq179	3	5	5	1	4	2	2	1	3	42	6	1	5	1	2	3	3	4	0	0	0	1	1	1	12	5	0	0	1	7
